,Unnamed: 0,id,created_at,text,text_tokens,text_tokens_fdist,text_tokens_SW,text_tokens_stemmed
10,10,1587007724562558976,2022-10-31 09:05:01+00:00,rt news update today,"['rt', 'news', 'update', 'today']",<FreqDist with 4 samples and 4 outcomes>,"['news', 'today']","['news', 'today']"
11,11,1587005800295567362,2022-10-31 08:57:22+00:00,kenaikan pangkat pengabdian bukan merupakan keharusan namun merupakan hasil penilaian dan prestasi serta kinerja personil itu sendiri yang telah dengan sungguhsungguh mengabdikan dirinya kepada insitusi polri,"['kenaikan', 'pangkat', 'pengabdian', 'bukan', 'merupakan', 'keharusan', 'namun', 'merupakan', 'hasil', 'penilaian', 'dan', 'prestasi', 'serta', 'kinerja', 'personil', 'itu', 'sendiri', 'yang', 'telah', 'dengan', 'sungguhsungguh', 'mengabdikan', 'dirinya', 'kepada', 'insitusi', 'polri']",<FreqDist with 25 samples and 26 outcomes>,"['kenaikan', 'pangkat', 'pengabdian', 'keharusan', 'hasil', 'penilaian', 'prestasi', 'kinerja', 'personil', 'sungguhsungguh', 'mengabdikan', 'insitusi', 'polri']","['naik', 'pangkat', 'abdi', 'harus', 'hasil', 'nilai', 'prestasi', 'kerja', 'personil', 'sungguhsungguh', 'abdi', 'insitusi', 'polri']"
12,12,1586998302859370497,2022-10-31 08:27:35+00:00,rt organisasi riset manajemen kinerja global asal as kemarin merilis hasil penilaian masyarakat internasional atas,"['rt', 'organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'asal', 'as', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional', 'atas']",<FreqDist with 15 samples and 15 outcomes>,"['organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional']","['organisasi', 'riset', 'manajemen', 'kerja', 'global', 'kemarin', 'rilis', 'hasil', 'nilai', 'masyarakat', 'internasional']"
13,13,1586997634631602176,2022-10-31 08:24:55+00:00,bukti kinerja yang sangat baik atas apa yag sudah dilakukan para polisi yang memberikan pelayanan kesehatan kepada masyarakat polri,"['bukti', 'kinerja', 'yang', 'sangat', 'baik', 'atas', 'apa', 'yag', 'sudah', 'dilakukan', 'para', 'polisi', 'yang', 'memberikan', 'pelayanan', 'kesehatan', 'kepada', 'masyarakat', 'polri']",<FreqDist with 18 samples and 19 outcomes>,"['bukti', 'kinerja', 'yag', 'polisi', 'pelayanan', 'kesehatan', 'masyarakat', 'polri']","['bukti', 'kerja', 'yag', 'polisi', 'layan', 'sehat', 'masyarakat', 'polri']"
14,14,1586996007749189637,2022-10-31 08:18:27+00:00,,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
15,15,1586990221237063682,2022-10-31 07:55:28+00:00,kenaikan pangkat pengabdian bukan merupakan keharusan namun merupakan hasil penilaian dan prestasi serta kinerja personil itu sendiri yang telah dengan sungguhsungguh mengabdikan dirinya kepada insitusi polri,"['kenaikan', 'pangkat', 'pengabdian', 'bukan', 'merupakan', 'keharusan', 'namun', 'merupakan', 'hasil', 'penilaian', 'dan', 'prestasi', 'serta', 'kinerja', 'personil', 'itu', 'sendiri', 'yang', 'telah', 'dengan', 'sungguhsungguh', 'mengabdikan', 'dirinya', 'kepada', 'insitusi', 'polri']",<FreqDist with 25 samples and 26 outcomes>,"['kenaikan', 'pangkat', 'pengabdian', 'keharusan', 'hasil', 'penilaian', 'prestasi', 'kinerja', 'personil', 'sungguhsungguh', 'mengabdikan', 'insitusi', 'polri']","['naik', 'pangkat', 'abdi', 'harus', 'hasil', 'nilai', 'prestasi', 'kerja', 'personil', 'sungguhsungguh', 'abdi', 'insitusi', 'polri']"
16,16,1586983745218715648,2022-10-31 07:29:44+00:00,posisi lima besar itu merujuk pada persepsi masyarakat trhdp kinerja aparat kepolisian masing negara ada pertanyaan guna mengukur rasa keamanan pribadi seseorang serta pengalaman pribadi mereka terhadap kejahatan dan penegakan hukum,"['posisi', 'lima', 'besar', 'itu', 'merujuk', 'pada', 'persepsi', 'masyarakat', 'trhdp', 'kinerja', 'aparat', 'kepolisian', 'masing', 'negara', 'ada', 'pertanyaan', 'guna', 'mengukur', 'rasa', 'keamanan', 'pribadi', 'seseorang', 'serta', 'pengalaman', 'pribadi', 'mereka', 'terhadap', 'kejahatan', 'dan', 'penegakan', 'hukum']",<FreqDist with 30 samples and 31 outcomes>,"['posisi', 'merujuk', 'persepsi', 'masyarakat', 'trhdp', 'kinerja', 'aparat', 'kepolisian', 'negara', 'mengukur', 'keamanan', 'pribadi', 'pengalaman', 'pribadi', 'kejahatan', 'penegakan', 'hukum']","['posisi', 'rujuk', 'persepsi', 'masyarakat', 'trhdp', 'kerja', 'aparat', 'polisi', 'negara', 'ukur', 'aman', 'pribadi', 'alam', 'pribadi', 'jahat', 'tega', 'hukum']"
17,17,1586950661329256449,2022-10-31 05:18:16+00:00,bhabinkamtibmas melakukan sosialisasi kepada warga kelurahan bulian atas nama pak darwinkartu barcode aplikasi pelayanan pengaduan masyarakat terpadu yang bertujuan untuk melayani pengaduan masyarakat terkait kinerja polri dan atau pelanggaran anggota polri,"['bhabinkamtibmas', 'melakukan', 'sosialisasi', 'kepada', 'warga', 'kelurahan', 'bulian', 'atas', 'nama', 'pak', 'darwinkartu', 'barcode', 'aplikasi', 'pelayanan', 'pengaduan', 'masyarakat', 'terpadu', 'yang', 'bertujuan', 'untuk', 'melayani', 'pengaduan', 'masyarakat', 'terkait', 'kinerja', 'polri', 'dan', 'atau', 'pelanggaran', 'anggota', 'polri']",<FreqDist with 28 samples and 31 outcomes>,"['bhabinkamtibmas', 'sosialisasi', 'warga', 'kelurahan', 'bulian', 'nama', 'darwinkartu', 'barcode', 'aplikasi', 'pelayanan', 'pengaduan', 'masyarakat', 'terpadu', 'bertujuan', 'melayani', 'pengaduan', 'masyarakat', 'terkait', 'kinerja', 'polri', 'pelanggaran', 'anggota', 'polri']","['bhabinkamtibmas', 'sosialisasi', 'warga', 'lurah', 'bulian', 'nama', 'darwinkartu', 'barcode', 'aplikasi', 'layan', 'adu', 'masyarakat', 'padu', 'tuju', 'layan', 'adu', 'masyarakat', 'kait', 'kerja', 'polri', 'langgar', 'anggota', 'polri']"
18,18,1586939724622487552,2022-10-31 04:34:48+00:00,polri urutan besar dunia gallup lembaga konsultan dan analisa amerika serikst as biasa melakukan poling secara global merilis survei terbarunya terkait hukum dan ketertiban di sejumlah negara hasilnya kinerja kepolisian republik indonesia polri menempati urutan lima,"['polri', 'urutan', 'besar', 'dunia', 'gallup', 'lembaga', 'konsultan', 'dan', 'analisa', 'amerika', 'serikst', 'as', 'biasa', 'melakukan', 'poling', 'secara', 'global', 'merilis', 'survei', 'terbarunya', 'terkait', 'hukum', 'dan', 'ketertiban', 'di', 'sejumlah', 'negara', 'hasilnya', 'kinerja', 'kepolisian', 'republik', 'indonesia', 'polri', 'menempati', 'urutan', 'lima']",<FreqDist with 33 samples and 36 outcomes>,"['polri', 'urutan', 'dunia', 'gallup', 'lembaga', 'konsultan', 'analisa', 'amerika', 'serikst', 'poling', 'global', 'merilis', 'survei', 'terbarunya', 'terkait', 'hukum', 'ketertiban', 'negara', 'hasilnya', 'kinerja', 'kepolisian', 'republik', 'indonesia', 'polri', 'menempati', 'urutan']","['polri', 'urut', 'dunia', 'gallup', 'lembaga', 'konsultan', 'analisa', 'amerika', 'serikst', 'poling', 'global', 'rilis', 'survei', 'baru', 'kait', 'hukum', 'tertib', 'negara', 'hasil', 'kerja', 'polisi', 'republik', 'indonesia', 'polri', 'tempat', 'urut']"
19,19,1586921735882174464,2022-10-31 03:23:20+00:00,rt melalui semangat sumpah pemuda mari kita tingkatkan kinerja polres bengkayang untuk melayani masyarakat kab bengkayang,"['rt', 'melalui', 'semangat', 'sumpah', 'pemuda', 'mari', 'kita', 'tingkatkan', 'kinerja', 'polres', 'bengkayang', 'untuk', 'melayani', 'masyarakat', 'kab', 'bengkayang']",<FreqDist with 15 samples and 16 outcomes>,"['semangat', 'sumpah', 'pemuda', 'mari', 'tingkatkan', 'kinerja', 'polres', 'bengkayang', 'melayani', 'masyarakat', 'kab', 'bengkayang']","['semangat', 'sumpah', 'pemuda', 'mari', 'tingkat', 'kerja', 'polres', 'bengkayang', 'layan', 'masyarakat', 'kab', 'bengkayang']"
20,20,1586912983807979520,2022-10-31 02:48:33+00:00,rt organisasi riset manajemen kinerja global asal as kemarin merilis hasil penilaian masyarakat internasional atas,"['rt', 'organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'asal', 'as', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional', 'atas']",<FreqDist with 15 samples and 15 outcomes>,"['organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional']","['organisasi', 'riset', 'manajemen', 'kerja', 'global', 'kemarin', 'rilis', 'hasil', 'nilai', 'masyarakat', 'internasional']"
21,21,1586903025142333441,2022-10-31 02:08:59+00:00,kinerja kapolri dan polri telah maksimal dalam menuntaskan kasus ini sekarang waktunya untuk menunjukan kinerjanya yang profesional dalam menyelesaikan kasus sambo ini,"['kinerja', 'kapolri', 'dan', 'polri', 'telah', 'maksimal', 'dalam', 'menuntaskan', 'kasus', 'ini', 'sekarang', 'waktunya', 'untuk', 'menunjukan', 'kinerjanya', 'yang', 'profesional', 'dalam', 'menyelesaikan', 'kasus', 'sambo', 'ini']",<FreqDist with 19 samples and 22 outcomes>,"['kinerja', 'kapolri', 'polri', 'maksimal', 'menuntaskan', 'menunjukan', 'kinerjanya', 'profesional', 'menyelesaikan', 'sambo']","['kerja', 'kapolri', 'polri', 'maksimal', 'tuntas', 'tunjuk', 'kerja', 'profesional', 'selesai', 'sambo']"
22,22,1586898576109494273,2022-10-31 01:51:18+00:00,melalui semangat sumpah pemuda mari kita tingkatkan kinerja polres bengkayang untuk melayani masyarakat kab bengkayang dengan sepenuh hati polri,"['melalui', 'semangat', 'sumpah', 'pemuda', 'mari', 'kita', 'tingkatkan', 'kinerja', 'polres', 'bengkayang', 'untuk', 'melayani', 'masyarakat', 'kab', 'bengkayang', 'dengan', 'sepenuh', 'hati', 'polri']",<FreqDist with 18 samples and 19 outcomes>,"['semangat', 'sumpah', 'pemuda', 'mari', 'tingkatkan', 'kinerja', 'polres', 'bengkayang', 'melayani', 'masyarakat', 'kab', 'bengkayang', 'sepenuh', 'hati', 'polri']","['semangat', 'sumpah', 'pemuda', 'mari', 'tingkat', 'kerja', 'polres', 'bengkayang', 'layan', 'masyarakat', 'kab', 'bengkayang', 'sepenuh', 'hati', 'polri']"
23,23,1586897743166861312,2022-10-31 01:47:59+00:00,alhamdulillaah polres bengkayang peroleh penghargaan dari komnas perlindungan anak sebagai polres peduli stunting hal ini membuat kami semakin meningkatkan kinerja kami untuk masyarakat kab bengkayang polri,"['alhamdulillaah', 'polres', 'bengkayang', 'peroleh', 'penghargaan', 'dari', 'komnas', 'perlindungan', 'anak', 'sebagai', 'polres', 'peduli', 'stunting', 'hal', 'ini', 'membuat', 'kami', 'semakin', 'meningkatkan', 'kinerja', 'kami', 'untuk', 'masyarakat', 'kab', 'bengkayang', 'polri']",<FreqDist with 23 samples and 26 outcomes>,"['alhamdulillaah', 'polres', 'bengkayang', 'peroleh', 'penghargaan', 'komnas', 'perlindungan', 'anak', 'polres', 'peduli', 'stunting', 'meningkatkan', 'kinerja', 'masyarakat', 'kab', 'bengkayang', 'polri']","['alhamdulillaah', 'polres', 'bengkayang', 'oleh', 'harga', 'komnas', 'lindung', 'anak', 'polres', 'peduli', 'stunting', 'tingkat', 'kerja', 'masyarakat', 'kab', 'bengkayang', 'polri']"
24,24,1586891015369428992,2022-10-31 01:21:15+00:00,rt organisasi riset manajemen kinerja global asal as kemarin merilis hasil penilaian masyarakat internasional atas,"['rt', 'organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'asal', 'as', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional', 'atas']",<FreqDist with 15 samples and 15 outcomes>,"['organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional']","['organisasi', 'riset', 'manajemen', 'kerja', 'global', 'kemarin', 'rilis', 'hasil', 'nilai', 'masyarakat', 'internasional']"
25,25,1586881959183417344,2022-10-31 00:45:16+00:00,pihak kepolisian menyalahkan kinerja panitia festival musik berdendang bergoyang yang abai dalam menjaga keamanan,"['pihak', 'kepolisian', 'menyalahkan', 'kinerja', 'panitia', 'festival', 'musik', 'berdendang', 'bergoyang', 'yang', 'abai', 'dalam', 'menjaga', 'keamanan']",<FreqDist with 14 samples and 14 outcomes>,"['kepolisian', 'menyalahkan', 'kinerja', 'panitia', 'festival', 'musik', 'berdendang', 'bergoyang', 'abai', 'menjaga', 'keamanan']","['polisi', 'salah', 'kerja', 'panitia', 'festival', 'musik', 'dendang', 'goyang', 'abai', 'jaga', 'aman']"
26,26,1586876337197023232,2022-10-31 00:22:56+00:00,kinerja yang sangat baik dan tegas pak semoga bisa terus konsisten dalam mengungkap kebenaran dan menegakan keadilan polri,"['kinerja', 'yang', 'sangat', 'baik', 'dan', 'tegas', 'pak', 'semoga', 'bisa', 'terus', 'konsisten', 'dalam', 'mengungkap', 'kebenaran', 'dan', 'menegakan', 'keadilan', 'polri']",<FreqDist with 17 samples and 18 outcomes>,"['kinerja', 'semoga', 'konsisten', 'mengungkap', 'kebenaran', 'menegakan', 'keadilan', 'polri']","['kerja', 'moga', 'konsisten', 'ungkap', 'benar', 'tega', 'adil', 'polri']"
27,27,1586825048567951361,2022-10-30 20:59:08+00:00,rt organisasi riset manajemen kinerja global asal as kemarin merilis hasil penilaian masyarakat internasional atas,"['rt', 'organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'asal', 'as', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional', 'atas']",<FreqDist with 15 samples and 15 outcomes>,"['organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional']","['organisasi', 'riset', 'manajemen', 'kerja', 'global', 'kemarin', 'rilis', 'hasil', 'nilai', 'masyarakat', 'internasional']"
28,28,1586810838396338176,2022-10-30 20:02:40+00:00,rt organisasi riset manajemen kinerja global asal as kemarin merilis hasil penilaian masyarakat internasional atas,"['rt', 'organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'asal', 'as', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional', 'atas']",<FreqDist with 15 samples and 15 outcomes>,"['organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional']","['organisasi', 'riset', 'manajemen', 'kerja', 'global', 'kemarin', 'rilis', 'hasil', 'nilai', 'masyarakat', 'internasional']"
29,29,1586789028807876608,2022-10-30 18:36:00+00:00,pihak kepolisian menyalahkan kinerja panitia festival musik berdendang bergoyang yang abai dalam menjaga keamanan,"['pihak', 'kepolisian', 'menyalahkan', 'kinerja', 'panitia', 'festival', 'musik', 'berdendang', 'bergoyang', 'yang', 'abai', 'dalam', 'menjaga', 'keamanan']",<FreqDist with 14 samples and 14 outcomes>,"['kepolisian', 'menyalahkan', 'kinerja', 'panitia', 'festival', 'musik', 'berdendang', 'bergoyang', 'abai', 'menjaga', 'keamanan']","['polisi', 'salah', 'kerja', 'panitia', 'festival', 'musik', 'dendang', 'goyang', 'abai', 'jaga', 'aman']"
30,30,1586740588530892800,2022-10-30 15:23:31+00:00,kinerja bagus yang diterapkan oleh polri ini hal yang patut dipuji semoga keanggotaan polri dimanapun bisa melakukan hal seperti ini juga,"['kinerja', 'bagus', 'yang', 'diterapkan', 'oleh', 'polri', 'ini', 'hal', 'yang', 'patut', 'dipuji', 'semoga', 'keanggotaan', 'polri', 'dimanapun', 'bisa', 'melakukan', 'hal', 'seperti', 'ini', 'juga']",<FreqDist with 17 samples and 21 outcomes>,"['kinerja', 'bagus', 'diterapkan', 'polri', 'patut', 'dipuji', 'semoga', 'keanggotaan', 'polri', 'dimanapun']","['kerja', 'bagus', 'terap', 'polri', 'patut', 'puji', 'moga', 'anggota', 'polri', 'mana']"
31,31,1586740184548188161,2022-10-30 15:21:54+00:00,rt organisasi riset manajemen kinerja global asal as kemarin merilis hasil penilaian masyarakat internasional atas,"['rt', 'organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'asal', 'as', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional', 'atas']",<FreqDist with 15 samples and 15 outcomes>,"['organisasi', 'riset', 'manajemen', 'kinerja', 'global', 'kemarin', 'merilis', 'hasil', 'penilaian', 'masyarakat', 'internasional']","['organisasi', 'riset', 'manajemen', 'kerja', 'global', 'kemarin', 'rilis', 'hasil', 'nilai', 'masyarakat', 'internasional']"
32,32,1586735060853874688,2022-10-30 15:01:33+00:00,kinerja bagus yang diterapkan oleh polri ini hal yang patut dipuji semoga keanggotaan polri dimanapun bisa melakukan hal seperti ini juga,"['kinerja', 'bagus', 'yang', 'diterapkan', 'oleh', 'polri', 'ini', 'hal', 'yang', 'patut', 'dipuji', 'semoga', 'keanggotaan', 'polri', 'dimanapun', 'bisa', 'melakukan', 'hal', 'seperti', 'ini', 'juga']",<FreqDist with 17 samples and 21 outcomes>,"['kinerja', 'bagus', 'diterapkan', 'polri', 'patut', 'dipuji', 'semoga', 'keanggotaan', 'polri', 'dimanapun']","['kerja', 'bagus', 'terap', 'polri', 'patut', 'puji', 'moga', 'anggota', 'polri', 'mana']"
